,date,value,ub,lb,std
88,01/28/2022,75265.95061728395,82347.20711526075,68184.69411930714,7081.256497976813
89,01/29/2022,71534.66666666667,78130.02053219295,64939.31280114039,6595.35386552628
90,01/30/2022,68114.32098765433,74264.7393366096,61963.90263869906,6150.418348955266
91,01/31/2022,64983.27160493827,70728.19833298076,59238.34487689579,5744.9267280424865
92,02/01/2022,62120.50617283951,67498.0143655278,56742.99798015122,5377.508192688288
93,02/02/2022,59505.61111111111,64552.5091313467,54458.71309087552,5046.898020235585
94,02/03/2022,57119.055555555555,61870.943743327894,52367.167367783215,4751.8881877723425
95,02/04/2022,54942.01851851852,59433.22752107101,50450.80951596603,4491.209002552487
96,02/05/2022,52956.24074074074,57219.717865640334,48692.76361584114,4263.477124899596
97,02/06/2022,51144.141975308645,55211.270291465626,47077.013659151664,4067.1283161569786
98,02/07/2022,49489.27160493827,53389.61596783021,45588.92724204634,3900.344362891931
99,02/08/2022,47974.96913580247,51735.94245437325,44213.99581723169,3760.9733185707787
100,02/09/2022,46584.97530864197,50231.46033804723,42938.490279236714,3646.4850294052585
101,02/10/2022,45305.18518518518,48859.400688158894,41750.96968221147,3554.215502973708
102,02/11/2022,44122.3024691358,47603.62194675397,40640.98299151763,3481.31947761817
103,02/12/2022,43024.16049382716,46449.0356143554,39599.285373298924,3424.875120528236
104,02/13/2022,41999.4012345679,45381.39201215309,38617.41045698271,3381.9907775851916
105,02/14/2022,41037.72222222222,44387.60041511893,37687.844029325504,3349.8781928967155
106,02/15/2022,40129.79012345679,43455.74352707723,36803.83671983635,3325.95340362044
107,02/16/2022,39267.234567901236,42575.10403811415,35959.36509768832,3307.8694702129105
108,02/17/2022,38442.69135802469,41736.25819278926,35149.12452326012,3293.566834764571
109,02/18/2022,37649.58641975309,40930.85020056963,34368.32263893655,3281.2637808165373
110,02/19/2022,36882.351851851854,40151.82532302625,33612.87838067746,3269.4734711743963
111,02/20/2022,36136.01234567901,39392.97575311671,32879.04893824131,3256.963407437702
112,02/21/2022,35406.5,38649.26764957569,32163.73235042431,3242.7676495756914
113,02/22/2022,34690.40740740741,37916.53443638502,31464.280378429794,3226.1270289776153
114,02/23/2022,33984.833333333336,37191.31996864854,30778.346698018137,3206.4866353152
115,02/24/2022,33287.5987654321,36471.0530041206,30104.1445267436,3183.4542386885023
116,02/25/2022,32596.820987654322,35753.60564875313,29440.036326555513,3156.7846610988095
117,02/26/2022,31911.277777777777,35037.638707285834,28784.91684826972,3126.360929508058
118,02/27/2022,31230.024691358023,34322.17783296942,28137.871549746622,3092.153141611401
119,02/28/2022,30552.376543209877,33606.603047148725,27498.15003927103,3054.2265039388467
120,03/01/2022,29878.086419753086,32890.79112282718,26865.381716678996,3012.7047030740905
121,03/02/2022,29207.006172839505,32174.782860106505,26239.229485572505,2967.776687267001
122,03/03/2022,28539.277777777777,31458.939899730565,25619.61565582499,2919.6621219527888
123,03/04/2022,27875.216049382718,30743.83658387087,25006.595514894565,2868.6205344881528
